"platform","category","evidence_status","primary_use_case","public_pricing_2026","web_mobile_model","branded_app_model","visual_customization_ceiling","information_architecture_customization","api_webhooks_sdk_headless","ai_mcp_agent_integration","data_export_and_ownership","developer_account_ownership","monetization_and_fees","migration_risk","maturity","best_fit_100k_creator","verdict","primary_source_urls","last_verified"
"Substack","Newsletter and fan community network","verified_live","Paid newsletter, publication, Notes, Chat, podcast, and subscriber community","Free to publish; 10% of paid subscriptions plus Stripe fees including recurring billing","Shared Substack web and mobile apps with publication pages","No creator-owned app","Template marketplace","Publication branding, sections, posts, podcast, Notes, and Chat; platform navigation and social graph are fixed","No suitable public headless community API found","Official hosted Substack MCP at https://mcp.substack.com/api/v1/mcp; Admin-only and limited to Bestseller publications; read-only subscriber counts, post performance, revenue, retention, traffic and publication settings; cannot publish posts, send Notes or modify the account; works with Claude, ChatGPT and Cursor","Subscriber list and publication content can be exported; Notes/Chat/social graph and app experience are less portable","Not applicable; Substack owns shared apps","10% platform fee plus Stripe 2.9% + $0.30 and 0.7% recurring billing in current support example","High — email list is portable, but network discovery, Chat, Notes, and payment migration are platform-specific","Established","Excellent writer-led validation/distribution; poor fit for own-app and custom-product vision","UTILITY — publication edge, not final architecture","https://support.substack.com/hc/en-us/articles/360037607131-How-much-does-Substack-cost | https://support.substack.com/hc/en-us/articles/50834026608916-How-to-connect-Substack-to-your-AI-Assistant","2026-07-27"
"Passes","Fan monetization network","verified_live","Subscriptions, exclusive content, DMs, calls, livestreams, and fan payments","$0 monthly; 10% + $0.30 per transaction in public material","Shared Passes web/mobile experience","No creator-owned app","Template marketplace","Creator page and monetization formats inside Passes; low IA control","No meaningful public developer/headless platform found","No official MCP found","Confirm fan list, content, message, and transaction exports; preserve independent CRM","Not applicable; shared platform","10% + $0.30 per transaction; other processing/payout terms may apply","High — monetization and fan interaction are tied to shared platform","Growth-stage","Creator is near Passes’ stated 100k social threshold; useful fan-monetization experiment, not owned community","UTILITY/REJECT AS CORE","https://www.passes.com/en","2026-07-27"
"Fanfix","Fan monetization network","verified_live","Exclusive creator content and direct fan messaging","Creator terms allocate 80% to creator and 20% to platform","Shared Fanfix web/mobile product","No creator-owned app","Template marketplace","Fixed creator page and paywalled content/messaging model","No meaningful public developer/headless offer found","No official MCP found","Export and ownership scope should be assumed limited until contract proves otherwise","Not applicable","20% platform share under public creator terms","Very high — high revenue share and closed platform model","Growth-stage","Poor fit for owned high-quality custom community","REJECT AS CORE","https://auth.fanfix.io/creator-terms-of-use","2026-07-27"
"Bettermode","Enterprise/customer community","verified_live","Customer, product-embedded, support, and branded digital communities","Starter $399/mo annual-equivalent or $499 monthly for 10k members; Growth $1,500 annual-equivalent or $1,750 monthly for 25k; enterprise custom","Branded responsive web; embeds and custom surfaces","Not a standard creator own-name native app product","Headless/extensible on qualifying plans","Starter supports core blocks and navigation; Advanced Design Studio is Premium; custom apps, scripts, embeds, multilingual and deeper IA are tier-dependent","GraphQL API, webhooks and sandbox begin on Growth; Advanced Design Studio is Premium; developer/custom-app and headless availability must be tied to the quoted tier","Ask AI and native AI features; no official MCP found; custom agent highly buildable on Growth","API and webhooks improve portability; test exports for posts, DMs, files, analytics, moderation, and identities","No standard native app account proposition","Subscription pricing; commerce/payment fees are use-case and integration dependent","Low-medium for web/product teams — strong API, but proprietary blocks/apps and enterprise configuration still create work","Established growth enterprise platform","Best when a product team values headless/extensible web more than turnkey creator economics","CONDITIONAL SHORTLIST — headless web alternative","https://bettermode.com/pricing | https://bettermode.com/product/feature-index-bettermode | https://bettermode.com/hub/api-webhooks","2026-07-27"
"Hivebrite","Enterprise/association community","verified_live","Associations, alumni, mentoring, directories, chapters, events, and memberships","Public pricing previously Core $895/mo and Flex $1,995/mo on annual contracts; confirm current quote","White-label branded web plus native mobile extension","Only white-label native mobile app; vendor guides submission","Enterprise configurable","Page builder, groups/subcommunities, directories, profiles, journeys, mentoring, events, memberships, communications, roles, and multilingual","APIs, integrations, SSO, webhooks and enterprise connectors by plan","Official admin-only MCP with live insight and staged actions; role permissions and human approval; native AI agents/workflows","Enterprise export/integration capability expected; contract explicit full exports, API access, backups, and deletion assistance","Vendor handles technical submission; clarify customer developer accounts, bundle IDs, keys, and transfer rights","Sales-led subscription plus implementation, app, email, payments, and professional services","Medium — strong enterprise integration but complex schema, app, and institutional workflows increase migration effort","Established enterprise","Only appropriate if the creator’s vision resembles an association, mentoring network, or multi-chapter institution","CONDITIONAL — powerful but likely excessive","https://hivebrite.io/pricing/ | https://hivebrite.io/features/mcp/ | https://hivebrite.io/features/mobile-app/ | https://hivebrite.io/integrations/","2026-07-27"
"Higher Logic Vanilla","Enterprise/customer community","verified_live","B2B customer support, product feedback, knowledge, advocacy, and community intelligence","Sales-led Corporate/Enterprise packages; no public fixed price","Branded responsive customer-community web","No standard creator native branded-app proposition established","Enterprise configurable","Themes, knowledge, forums, ideation, Q&A, moderation, roles, analytics, and enterprise integrations","Packages list unlimited API calls, webhooks, and integrations; confirm exact contracted endpoints","Official native MCP launched 2026-05-26; works with ChatGPT, Claude, Cursor, and custom agents; RBAC/audit claims","Enterprise exports/API are available; contract data extracts, retention, and exit assistance","Not a native-app decision","Custom subscription/implementation; no creator-commerce pricing","Medium — mature enterprise data but complex configuration and integration mapping","Established enterprise","Relevant only if community is a B2B support/customer-intelligence operation","REJECT FOR CREATOR PILOT; ENTERPRISE REFERENCE","https://www.higherlogic.com/vanilla-packages/ | https://www.higherlogic.com/higher-logic-vanilla-mcp/ | https://www.higherlogic.com/news/higher-logic-vanilla-launches-mcp-server/","2026-07-27"
"Gainsight Customer Communities","Enterprise/customer community","verified_live","Customer success, product adoption, peer support, and support deflection","Sales-led Professional/Business/Enterprise; no public fixed price","Branded responsive customer-community web","No standard creator own-brand app proposition found","Enterprise configurable","WYSIWYG branding, dynamic user experiences, knowledge, community, moderation, customer-success integration","Secure API connectors and enterprise integrations; scope is contracted","Official Gainsight Community MCP beta; role-scoped read-only Search, Analytics and Admin tools for Claude and custom LLMs; broader Gainsight MCP can write to customer-success records, but Community tools remain read-only","Enterprise exports/connectors expected; contract complete data extraction and exit assistance","Not a native-app decision","Sales-led subscription and implementation","Medium — B2B customer-health integrations and proprietary objects increase exit work","Established enterprise","Only if the creator evolves into a customer-success or education business with B2B accounts","REJECT FOR CREATOR PILOT; B2B ONLY","https://www.gainsight.com/pricing/ | https://www.gainsight.com/customer-communities/ | https://support.gainsight.com/cc/Release_Notes/Current_Release_Notes_-_2026/Pulse_2026_Release_Notes_for_Customer_Communities_%28CC%29 | https://www.gainsight.com/solutions/gainsight-mcp/ | https://communities.gainsight.com/product-updates/gainsight-cc-configure-secure-api-connectors-in-your-customer-communities-29597","2026-07-27"
"Khoros Aurora","Enterprise/customer community","enterprise_transition","Large enterprise support, brand, social care, and AI-orchestrated communities","Sales-led custom pricing","Enterprise branded web/community product during Aurora transition","Mobile/app options are contract-specific; not a creator standard","Enterprise configurable","Enterprise community architecture plus Aurora AI answer, moderation, insight, and orchestration layers","Enterprise APIs/integrations exist in Khoros ecosystem; verify Aurora endpoint parity and migration state","Aurora AI announced in 2026 with answer assist, moderation, and orchestration; no official public MCP found","Contract exports, API continuity, classic-to-Aurora migration, and feature flags explicitly","Contract-specific","Custom enterprise license, services, migration, integrations, and usage","High during transition — distinguish released, early-access, feature-flagged, and roadmap capabilities","Established vendor; new platform transition","Not suitable for this creator; useful signal of enterprise AI direction","REJECT FOR CREATOR; WATCH TRANSITION","https://khoros.ai/aurora/ | https://www.prnewswire.com/news-releases/khoros-launches-aurora-ai-a-new-dawn-for-enterprise-community-302739636.html | https://community.khoros.com/blog/release-notes/khoros-communities-26-2-release-notes-updated/774848","2026-07-27"
"Bevy","Enterprise event and chapter community","verified_live","Global developer/customer communities, chapters, events, forums, and user groups","Sales-led calculator; no simple public fixed price","White-labeled SEO community hub and event surfaces","Event/mobile options are contract-specific; no creator-standard own app established","Enterprise configurable","Forums, groups, chapters, events, pages, emails, roles, domains, SSO, and CRM integrations","Enterprise integrations and APIs are plan/contract dependent; obtain endpoint matrix","Community Knowledge AI Search; no official MCP found","Contract exports, event/member data, and CRM sync; test content and chapter portability","Contract-specific","Custom platform, integrations, virtual conference, support, and services","Medium-high — multi-chapter/event structures and CRM integrations are costly to remap","Established enterprise","Only if the vision is a distributed ambassador/chapter program with large events","REJECT FOR INITIAL CREATOR PILOT","https://bevy.com/pricing","2026-07-27"
"Gradual","Enterprise event and learning community","verified_live","Events, learning, content, discussions, and professional communities","Sales-led; no public fixed price","White-labeled web plus shared Gradual iOS/Android app","Shared Gradual mobile app in public docs; own-branded app not established","Enterprise configurable","Events, content, learning, discussions, profiles, groups, and branded web","No sufficiently public API/headless documentation found in this review; confirm with sales","AI and automation claims vary; no official MCP found","Contract member/event/content exports and integration terms; test before purchase","Shared Gradual mobile app unless contract says otherwise","Custom subscription and event/service pricing","Medium-high — event/community data model and shared app create switching work","Growth-stage enterprise","Relevant for event-led professional academy, otherwise excessive","CONDITIONAL ENTERPRISE — not creator default","https://www.gradual.com/ | https://support.gradual.com/en/articles/12149478-gradual-mobile-app-overview","2026-07-27"
"Open Social","Enterprise/open-source community","verified_live","Multi-stakeholder collaboration, nonprofits, associations, and employee/member networks","Sales-led; open-source Drupal foundation plus managed enterprise services","Branded responsive web; deployment model varies","Mobile/custom app is project-specific, not a standard creator offer","Source-extensible enterprise","Drupal-based modular groups, events, content, roles, collaboration, and custom development","Extensible Drupal architecture, integrations, and APIs; scope depends deployment","Gaia AI and enterprise AI features; no official public MCP found","Self-hosted/open-source deployments can retain database; managed-contract export terms still matter","Project-specific","License/services/hosting/development; no standard creator fee model","Medium — source access helps, but Drupal customization and enterprise integration create technical debt","Established enterprise/open source","Only if data sovereignty and multi-organization governance dominate","REJECT FOR CREATOR PILOT","https://www.getopensocial.com/","2026-07-27"
"Discord","Chat and realtime community","verified_live","Realtime chat, voice/video, roles, bots, gaming/fandom, and informal community","Free core; optional Nitro; Server Subscriptions available in eligible contexts","Shared Discord desktop, web, and mobile apps","No creator-owned app","Template shared platform","Servers, channels, threads, forums, roles, bots, activities, and permissions; Discord brand and IA remain","Rich bot API, Gateway/HTTP APIs, webhooks, activities, OAuth","Documentation-only official Discord MCP at https://docs.discord.com/mcp; it cannot access Discord server or community data; operational agents remain buildable through official bot, Gateway and HTTP APIs","Some server/member/content data is accessible by bots within permissions; there is no simple complete portable community export","Not applicable; Discord owns shared apps","Server subscriptions: public terms cite 10% platform + 6% processing on desktop/web; mobile store fees can add cost","Very high — social graph, DMs, identity, content history, and member habits remain in Discord","Established","Useful free acquisition or chat layer; weak owned premium destination","UTILITY LAYER — not core architecture","https://docs.discord.com/mcp | https://docs.discord.com/developers/platform/bots | https://docs.discord.com/developers/platform/webhooks | https://support.discord.com/hc/en-us/articles/5330075836311-Monetization-Terms","2026-07-27"
"Slack","Chat and collaboration","verified_live","B2B cohort chat, internal teams, masterminds, and time-bounded programs","Free and paid per-user workspace plans; current price varies by region/term","Shared Slack desktop, web, and mobile apps","No creator-owned app","Template shared platform","Channels, canvases, workflows, huddles, apps, roles, and enterprise controls; weak consumer community discovery","Mature APIs, apps, webhooks, Workflow Builder and integrations","Official hosted Slack MCP server over Streamable HTTP with OAuth and granular scopes; search/read plus operational writes; restricted to Marketplace-published or internal Slack apps, with admin governance and audit logs","Exports depend on plan and permissions; free history is limited; member identity remains Slack-centric","Not applicable","Per-user subscription; no native creator membership commerce","High — account model, private messages, files, and history are plan- and permission-constrained","Established","Useful for high-touch B2B cohort delivery, poor for a broad consumer creator community","UTILITY/REJECT AS DESTINATION","https://join.slack.com/pricing | https://docs.slack.dev/ai/slack-mcp-server/ | https://docs.slack.dev/changelog/2026/02/17/slack-mcp/ | https://api.slack.com/pricing","2026-07-27"
"Geneva","Consumer group chat and events","verified_live","Local groups, clubs, chat rooms, audio, video, forums, broadcasts, and events","Free consumer product; no business platform pricing found","Shared Geneva iOS/Android app and web access","No creator-owned app","Template shared platform","Rooms and group structures inside Geneva; low business customization","No public production API, webhooks, SDK, or headless offer found","No official MCP found","No business-grade full export/ownership proposition found","Not applicable","Free consumer service; no formal creator commerce platform","Very high — shared identity/app and no developer/export surface","Established consumer product","Potential member experience inspiration or free local-group test, not infrastructure","REJECT AS CORE","https://www.geneva.com/about","2026-07-27"
"Luma","Event and calendar membership","verified_live","Events, calendars, ticketing, newsletters, and event memberships","Free with 5% ticket fee; Plus about $59/mo annual or $69 monthly with 0% platform ticket fee","Shared Luma web and mobile experience; embeddable/event pages","No creator-owned app","Configurable event layer","Event pages, calendars, memberships, newsletters, ticket types, approval, and reminders; no deep discussion community","API and Zapier on Plus","No official MCP found; event agent buildable through API on Plus","Guest/member/event exports available; preserve CRM and payment records","Not applicable","5% ticket platform fee free plan; Plus removes platform fee; processing still applies","Low-medium for events — event lists are portable, but consumer accounts and event engagement remain platform-linked","Established growth platform","Excellent event/calendar utility paired with a community core","SHORTLIST AS UTILITY LAYER","https://help.lu.ma/p/luma-plus-overview | https://help.lu.ma/p/luma-vs-meetup | https://help.lu.ma/p/calendar-memberships","2026-07-27"
"Discourse","Open-source forum community","verified_live","Durable discussions, support, knowledge, Q&A, and long-lived community archives","Free open source self-host; managed Pro $100/mo; Business $500/mo; enterprise custom","Responsive PWA/web; shared DiscourseHub app","No standard dedicated creator native app; custom build possible","Source-owned/extensible","Categories, tags, trust levels, groups, themes, plugins, custom fields, workflows, and full source","Full API, webhooks, plugins, themes, SSO, source code","Official open-source Discourse MCP package with local and HTTP transports; API-key authentication; read/write tools and Data Explorer integration; the operator owns deployment, scopes and key safety","Self-hosting gives database/content control; managed exports and backups are established","No native account unless team builds app","License free self-host or managed subscription; hosting, plugins, email, CDN, moderation, and engineering apply","Low for self-hosted data, medium operationally — migrations are feasible but plugins/themes and identities need work","Established/open source","Best knowledge/discussion engine; needs product/design work for a premium creator school","CONDITIONAL SHORTLIST — discussion-first/open source","https://www.discourse.org/pricing | https://meta.discourse.org/t/discourse-mcp-is-here/386983 | https://meta.discourse.org/t/exploring-your-discourse-data-with-discourse-mcp/395383 | https://github.com/discourse/discourse-mcp","2026-07-27"
"BuddyPress","Open-source WordPress community","verified_live","WordPress profiles, activity, groups, messaging, and community extensions","Free open-source plugin","Responsive WordPress web; mobile depends theme/custom app","No native app by default; pair with BuddyBoss/custom wrapper","Source-owned/extensible","Full WordPress theme/plugin control; baseline UX requires assembly","WordPress REST APIs, hooks, plugins, and direct database control","No official MCP; custom agent buildable through WordPress APIs/plugins","Customer owns WordPress database and media; export quality depends plugin ecosystem","Project-specific","Free license plus hosting, security, plugins, payments, email, development, and maintenance","Medium — low license lock-in but high plugin/schema and operational debt","Established/open source","Budget DIY route; not the premium default without a strong WordPress team","CONDITIONAL/REJECT FOR FAST PREMIUM LAUNCH","https://wordpress.org/plugins/buddypress/","2026-07-27"
"FluentCommunity","Open-source WordPress community","verified_live_emerging","Lightweight self-hosted WordPress community, spaces, feeds, courses, and memberships","Annual single-site about $139 promotional/$199 list; 5-site $279; 15-site $489; lifetime offers vary","Responsive WordPress web","No documented native mobile app","Source-extensible WordPress plugin","WordPress theme/plugin control; product is newer and less battle-tested than BuddyPress/BuddyBoss","WordPress hooks/database; no mature standalone public API/headless product established","Native AI/integrations may evolve; no official MCP; custom agent possible through WordPress","Customer owns WordPress database and media; verify plugin-specific export and uninstall behavior","No native app model","License plus WordPress hosting, plugins, processor, email, video, security, and development","Medium-high — source ownership helps, but young plugin schema and ecosystem create upgrade risk","Emerging","Interesting low-cost owned experiment, not the first production choice for 100k reach","WATCH/CONDITIONAL DIY","https://fluentcommunity.co/","2026-07-27"
"NodeBB","Open-source forum community","verified_live","Realtime forum, chat, support community, and federated discussions","Free GPLv3 self-host; managed Starter $20, Hamlet $100, Village $250, City $750; enterprise custom","Responsive web/PWA","No standard creator native app","Source-owned/extensible","Themes, plugins, categories, groups, chat, ActivityPub/federation, and custom development","Documented API, plugins, webhooks/integrations depending setup","No official MCP found; custom MCP/agent buildable through API and source","Self-host gives database control; managed backups/exports should be tested","No native app model","Free license or managed plan plus infrastructure, plugins, moderation, email, and engineering","Low-medium — open data/source helps; plugin/theme and realtime operations remain","Established/open source","Credible forum-first alternative when modern realtime discussion matters","CONDITIONAL — forum-first","https://nodebb.org/pricing | https://nodebb.org/ | https://docs.nodebb.org/api/","2026-07-27"
"Flarum","Open-source forum community","verified_live_transition","Lightweight modern forum and discussion community","Free open source; self-hosting and services extra","Responsive web/PWA","No standard native app","Source-owned/extensible","Themes, extensions, tags, permissions, and Laravel/PHP customization","APIs/extensions/source; exact integration quality depends extension ecosystem","No official MCP found; custom agent buildable","Customer owns database and media; export/migration can be engineered","No native app model","Free license plus hosting, email, security, extensions, moderation, and engineering","Medium — source ownership is good; 2.0 release-candidate transition and extension compatibility increase risk","Established 1.x; 2.0 transition","Good lightweight forum experiment, not a ready premium creator operating system","CONDITIONAL/WATCH TRANSITION","https://flarum.org/","2026-07-27"
"HumHub","Open-source collaboration community","verified_live","Private social intranet, organizational spaces, collaboration, and data-sovereign community","Community Edition free AGPL self-host; Professional pricing example about €144/mo for 100 users including hosting; custom at scale","Responsive web","No standard native creator app","Source-owned/enterprise configurable","Spaces, profiles, modules, roles, content, collaboration, and custom modules","REST API module and extensible module architecture","No official MCP found; agent buildable through REST/source","Self-hosted edition gives database control; SaaS contract should specify full exports","No standard native app","Free/self-host or subscription plus modules, hosting, support, and development","Low-medium for self-hosted data; medium-high for custom modules and upgrades","Established/open source","Better for organizations/intranets than creator commerce or fan communities","REJECT FOR CREATOR CORE","https://www.humhub.com/pricing/ | https://www.humhub.com/","2026-07-27"
"Stream","Custom-build infrastructure","verified_live","Activity feeds, chat, notifications, moderation, and social primitives for custom apps","Activity Feeds free to 125k API calls/5k activities; Start $499 annual-equivalent or $599 monthly; Elevate $899/$999; chat priced separately","SDKs/components for custom web, iOS, Android, React Native, Flutter, and backend","Creator/team owns the app and store listings","Full custom UI on managed primitives","Team defines IA, identity, product model, and front end; Stream supplies feeds/chat/moderation infrastructure","Extensive APIs, SDKs, webhooks, UI kits, moderation, and realtime infrastructure","AI moderation and custom agent integrations are buildable; no turnkey community MCP required","Application team owns canonical user/business database; Stream data export/retention terms must be architected","Customer owns developer accounts, source, bundle IDs, and release pipeline","Usage subscription plus engineering, cloud, payments, email, analytics, moderation, and app stores","Low vendor UI lock-in but medium backend switching cost; feed/chat history and realtime semantics are service-specific","Established infrastructure","Best custom foundation when feed and social interaction are the moat","SHORTLIST FOR EARNED CUSTOM BUILD","https://getstream.io/activity-feeds/pricing/ | https://getstream.io/activity-feeds/ | https://getstream.io/chat/sdk/react-native/","2026-07-27"
"Sendbird","Custom-build infrastructure","verified_live","Chat, messaging, notifications, moderation, calls, and support communication","Free developer 1k MAU; Starter 5k about $349 annual-equivalent/$399 monthly; Pro about $499/$599; enterprise custom","SDKs/UI kits for custom web and mobile apps","Customer owns app and listings","Full custom shell with configurable communication UI","Team builds community IA; Sendbird supplies communication primitives and moderation","APIs, SDKs, UI kits, webhooks, moderation, data export, and enterprise controls","AI chatbot/agent capabilities and moderation; no turnkey community MCP required","Keep canonical identity/content metadata outside Sendbird; contract retention/export; public pricing references 6-month retention on relevant tier","Customer owns developer accounts and source","Usage/MAU subscription plus engineering and full application stack","Medium — chat history, moderation state, and realtime behavior are provider-specific","Established infrastructure","Good if high-quality chat is the custom product’s central primitive","SHORTLIST FOR EARNED CUSTOM BUILD","https://sendbird.com/pricing/chat","2026-07-27"
"CometChat","Custom-build infrastructure","verified_live","Chat, voice/video, moderation, and AI-agent communication inside custom products","Free developer tier up to 100 users; paid pricing via calculator/quote","SDKs/UI kits for web and mobile custom apps","Customer owns app and store listings","Full custom shell with configurable communications","Team owns IA and app; CometChat provides chat/calls/moderation and AI communication layers","APIs, SDKs, UI kits, webhooks, extensions, voice/video","Documentation-only official CometChat MCP at https://www.cometchat.com/docs/mcp; it is read-only implementation guidance rather than live account/community data; CometChat separately provides AI Agent Builder APIs, BYO-agent tooling, moderation and summaries","Keep canonical user/business/content records outside; test message/media export and retention","Customer owns developer accounts and source","Usage subscription plus engineering, backend, payments, analytics, moderation, and app stores","Medium — communication data and realtime provider semantics are sticky","Established infrastructure","Strong custom option when agent-enabled chat/voice/video is the differentiator","SHORTLIST FOR EARNED CUSTOM BUILD","https://www.cometchat.com/pricing | https://www.cometchat.com/docs/mcp-server | https://www.cometchat.com/docs/rest-api/ai-agents-apis/overview","2026-07-27"
"TalkJS","Custom-build infrastructure","verified_live","Drop-in private messaging, group chat, marketplace chat, and support messaging","Basic $279/mo up to 10k MAU; Growth $569/mo up to 25k MAU; enterprise custom","Embeddable/customizable chat UI for web and mobile wrappers","Customer owns surrounding app and listings","Customizable component inside custom app","Team defines full product and IA; TalkJS supplies messaging surface","REST API, webhooks, chatbot support, notifications, and customizable UI","Bot/agent integrations are buildable; no official community MCP required","Keep canonical identities and business data outside; contract message/media retention and export","Customer owns developer accounts and source","MAU subscription plus engineering and full app stack","Medium — fast to integrate, but message history and notification behavior are provider-specific","Established infrastructure","Best when the team needs polished messaging quickly inside an otherwise custom product","UTILITY FOR CUSTOM BUILD","https://talkjs.com/pricing/","2026-07-27"
"LaraSocial","Source-code community product","watchlist_claimed_live","Low-cost Laravel/React social community source with AI positioning","One-time public offers around $99/$149; verify license and support","Self-hosted web source","Mobile apps described as coming soon","Source-owned claim","Potentially high because source is delivered, but feature depth and polish are unproven","Source-level integration; no mature public API/SDK evidence established","AI-powered positioning; no official MCP found","Customer-hosted data in principle; inspect source, migrations, backups, licenses, and telemetry","No current production mobile account model because apps are pending","One-time license plus hosting, engineering, security, support, moderation, and future mobile work","Very high — tiny/new source product, uncertain security/update process, and mobile roadmap","Unproven/watchlist","Not appropriate for a 100k-follower production launch without a full code/security audit and in-house ownership","WATCH ONLY","https://larasocial.app/","2026-07-27"
"beehiiv Community","Newsletter and community suite","verified_live_beta","Newsletter- and podcast-led audience community, paid channels, and direct subscriber monetization","Scale starts at $43/mo billed annually for up to 1,000 active subscribers and includes Community plus MCP write access; pricing rises by subscriber tier; Scale and Max support up to 100K active subscribers per workspace, when Enterprise is required","Branded publication website plus installable PWA on iOS, Android, and desktop with push notifications; no separate native-store app","Publication-branded installable web app; not a standalone App Store or Google Play listing","Managed branded web community","One community per publication; configurable channels, free/paid gating, feed, DMs and group chat, newsletter/podcast sync, member roles, and PWA settings; vendor-defined UI","General publication API on all plans and webhooks on Scale; no public Community API, SDK, or headless surface found at launch","Official action-capable beehiiv MCP and native Copilot; Scale includes write access; Community tools create/edit channels and posts, invite subscribers, moderate, and analyze","Subscriber CSV export and publication APIs exist; no documented full export for Community posts, comments, relationships, or DMs, and the migration guide recommends selectively recreating historical threads","Not applicable; mobile experience is a PWA rather than a native-store binary","0% beehiiv take rate on paid subscriptions; Stripe processing applies","Medium-high — subscriber data is portable, but beta Community history, member relationships, DMs, and PWA continuity lack a proven full exit path","Established creator platform; Community launched in beta on 16 July 2026","Priority pilot if newsletter and subscriber ownership are the center and a PWA is acceptable; not yet a native-app school","PRIORITY WATCH/PILOT — strongest new AI-native discovery","https://www.beehiiv.com/pricing | https://www.beehiiv.com/features/community | https://www.beehiiv.com/support/article/23874462928663 | https://www.beehiiv.com/support/article/42007397825687-using-the-beehiiv-mcp-with-your-community | https://www.beehiiv.com/support/article/42005816196375-creating-your-community-on-beehiiv | https://www.beehiiv.com/support/article/42004299269655-setting-up-the-mobile-app-for-your-community-membership","2026-07-27"
"Octo","Enterprise/association community","verified_live","Operations-heavy associations, employee or customer communities, payments, workflows, training, and marketplace","Free for 0–99 users; Kick Start $29/mo billed annually or $39 monthly for 100–999; Mobile First and Mobile Pro custom; Enterprise custom","Web plus shared Octo iOS/Android app on Free and Kick Start; own domain and branded mobile app on Mobile First, Mobile Pro, and Enterprise","Managed branded iOS/Android app; exact developer-account, bundle-ID, signing, and listing-transfer ownership is not public","Managed white-label superapp","Configurable feed, groups, DMs, events, surveys, forms, gamification, payments, marketplace, training, appointments, and low-code workflows; vendor UI remains the frame","Vendor claims RESTful API with unlimited data access, Zapier integrations, SSO/LDAP/SAML/OAuth, and on-premises deployment; no public API docs, webhook detail, SDK, or headless product found","Native ChatGPT/Gemini content generation, engagement scoring, relationship graphs, recommendations, and reminders; no official MCP found","Admin Excel export and API data-access claims plus an on-premises option; test complete exports for posts, DMs, payments, media, events, and learning records","Branded-app developer-account and listing ownership require written confirmation","Subscriptions, event tickets, paid groups, virtual currency, and marketplace are built in; platform and processor fee schedules are not public","Medium — API, Excel export, and on-premises deployment reduce risk, but exact export coverage and mobile-listing continuity remain uncontracted","Established niche/regional; vendor claims 450+ communities and 90K+ managed users","Conditional for a 100K audience only when association operations, workflows, or payments are central; an Enterprise quote and scale proof are required","CONDITIONAL SHORTLIST — operations-heavy niche","https://www.getocto.com/en/pricing/ | https://www.getocto.com/en/features/ | https://www.getocto.com/en/","2026-07-27"
"Socie Premium App","Enterprise/association community","verified_live","Private associations and organizations needing member communication, groups, events, documents, tasks, and an owned store listing","Start free; Plus €37.50/mo paid yearly or €45 monthly; Premium €350/mo with one-year minimum and €1,000 setup; Hub from €450/mo; prices exclude VAT","Web app plus shared Socie mobile app on Start/Plus; dedicated iOS and Android listing on Premium","Managed own-name iOS/Android app published into the customer's required Apple Developer and Google Play accounts","Managed white-label app","Modular app menu with groups, news, documents, events, member directory, tasks, polls, pages, sponsors, cards, and push notifications; vendor components remain fixed","Published API can read and write member data, custom fields, groups, group membership, and notifications; no public webhook, SDK, or headless evidence found","No official MCP or material native AI product found","API supports member, profile-field, and group portability; no documented full export for posts, messages, documents, media, or events, so test these before purchase","Customer Apple Developer and Google Play accounts are required; Socie receives access to submit and maintain the apps","Unlimited community members; crowdfunding exists; public platform and payment-processing fee details were not found","Low-medium — own store accounts and member/group API are strong, while complete content and message export still needs proof","Established; vendor states its platform has operated for more than 14 years","Best when the desired product is an association-style private app with clear store-account ownership, not a premium creator school","CONDITIONAL SHORTLIST — association/private-organization app","https://socie.eu/pricing/ | https://socie.eu/own-white-labeled-app/ | https://socie.eu/all-about-the-socie-api/ | https://resources.socie.nl/docs/api/","2026-07-27"
"LetTalk","White-label app-first community","verified_live_emerging","Social communities with rich feeds, live audio/video rooms, sub-communities, marketplace, reputation, and optional member dating","Community Starter free forever in shared apps; Custom Plan quote for white label; Enterprise custom; vendor states no per-member pricing","Web plus shared LetTalk iOS/Android apps; quote-based custom domain and app-store listing","Custom Plan claims full white-label branding and a custom app-store listing; developer-account, bundle-ID, signing, and transfer ownership are not public","Managed white-label social app","Modular feed, stories, live rooms, groups, approval flows, roles, marketplace, FLOV dating, and three-axis reputation system; vendor UI remains fixed","API and custom integrations are claimed only on Enterprise; no public API docs, webhooks, SDK, or headless product found","Native AI translation across 15+ languages and AI-assisted moderation; no official MCP found","Advanced data export and migration support are claimed on Enterprise without public scope; require a live export demonstration","Customer-versus-vendor app-store ownership is not documented","No per-member fee; marketplace is included on paid plans, but transaction and payment-processing economics are not public","High — Enterprise-only undocumented API/export claims and unclear mobile-listing ownership leave material lock-in","Live consumer app with current 2026 releases; white-label SaaS offer is emerging and customer-reference depth is unproven","Conditional only if live rooms, marketplace, reputation, or private dating are signature features and comparable references pass diligence","WATCH/CONDITIONAL — distinctive social modules, unproven white-label depth","https://let-talk.com/ | https://let-talk.com/pricing | https://apps.apple.com/us/app/lettalk/id1517365310 | https://play.google.com/store/apps/details?id=com.lettalk.app","2026-07-27"
