slug_or_collection,current_image,has_thumb,quality_est,spectrum,topic_pillar,asset_type,notes,recommended_action,new_premium_candidate,status,generated_or_audited,qualityScore,qualityTier,reviewStatus,storageLocalPath,publicUrl,vercelBlobKey,googleDriveUrl,socialAngle,promptFile
llm-evals-claude-code-guide::social-portrait,/images/social/blog/llm-evals-claude-code-guide/portrait.png,yes,8,tech,evals,social-portrait,Deterministic overlay social derivative for developer angle; based on accepted hero.,use for campaign distribution; upload to Google Drive social library,public/images/social/blog/llm-evals-claude-code-guide/portrait.png,accepted-2026-06-premium-batch; deterministic social PNG generated,deterministic-png-overlay,9,flagship,accepted,public/images/social/blog/llm-evals-claude-code-guide/portrait.png,/images/social/blog/llm-evals-claude-code-guide/portrait.png,,,developer,content/social/blog/llm-evals-claude-code-guide.md
mcp-server-architecture-workshop,/images/blog/generated/mcp-server-architecture-workshop-premium-hero.png,yes,9,tech,mcp,hero,Flagship MCP architecture lab; premium and clear.,ship premium bitmap hero and deterministic social derivatives,public/images/blog/generated/mcp-server-architecture-workshop-premium-hero.png,accepted-2026-06-premium-batch; wired to MDX frontmatter + manifest,built-in-image-gen,9,flagship,accepted,public/images/blog/generated/mcp-server-architecture-workshop-premium-hero.png,/images/blog/generated/mcp-server-architecture-workshop-premium-hero.png,images/blog/mcp-server-architecture-workshop/mcp-server-architecture-workshop-premium-hero.png,,developer,content/social/blog/mcp-server-architecture-workshop.md
mcp-server-architecture-workshop::social-wide,/images/social/blog/mcp-server-architecture-workshop/wide.png,yes,9,tech,mcp,social-wide,Deterministic overlay social derivative for developer angle; based on accepted hero.,use for campaign distribution; upload to Google Drive social library,public/images/social/blog/mcp-server-architecture-workshop/wide.png,accepted-2026-06-premium-batch; deterministic social PNG generated,deterministic-png-overlay,9,flagship,accepted,public/images/social/blog/mcp-server-architecture-workshop/wide.png,/images/social/blog/mcp-server-architecture-workshop/wide.png,,,developer,content/social/blog/mcp-server-architecture-workshop.md
mcp-server-architecture-workshop::social-square,/images/social/blog/mcp-server-architecture-workshop/square.png,yes,9,tech,mcp,social-square,Deterministic overlay social derivative for developer angle; based on accepted hero.,use for campaign distribution; upload to Google Drive social library,public/images/social/blog/mcp-server-architecture-workshop/square.png,accepted-2026-06-premium-batch; deterministic social PNG generated,deterministic-png-overlay,9,flagship,accepted,public/images/social/blog/mcp-server-architecture-workshop/square.png,/images/social/blog/mcp-server-architecture-workshop/square.png,,,developer,content/social/blog/mcp-server-architecture-workshop.md
mcp-server-architecture-workshop::social-portrait,/images/social/blog/mcp-server-architecture-workshop/portrait.png,yes,9,tech,mcp,social-portrait,Deterministic overlay social derivative for developer angle; based on accepted hero.,use for campaign distribution; upload to Google Drive social library,public/images/social/blog/mcp-server-architecture-workshop/portrait.png,accepted-2026-06-premium-batch; deterministic social PNG generated,deterministic-png-overlay,9,flagship,accepted,public/images/social/blog/mcp-server-architecture-workshop/portrait.png,/images/social/blog/mcp-server-architecture-workshop/portrait.png,,,developer,content/social/blog/mcp-server-architecture-workshop.md
mcp-server-integration-guide,/images/blog/generated/mcp-server-integration-guide-premium-hero.png,yes,8,tech,mcp,hero,Production integration rail with strong directional composition.,ship premium bitmap hero and deterministic social derivatives,public/images/blog/generated/mcp-server-integration-guide-premium-hero.png,accepted-2026-06-premium-batch; wired to MDX frontmatter + manifest,built-in-image-gen,8,premium,accepted,public/images/blog/generated/mcp-server-integration-guide-premium-hero.png,/images/blog/generated/mcp-server-integration-guide-premium-hero.png,images/blog/mcp-server-integration-guide/mcp-server-integration-guide-premium-hero.png,,developer,content/social/blog/mcp-server-integration-guide.md
mcp-server-integration-guide::social-wide,/images/social/blog/mcp-server-integration-guide/wide.png,yes,8,tech,mcp,social-wide,Deterministic overlay social derivative for developer angle; based on accepted hero.,use for campaign distribution; upload to Google Drive social library,public/images/social/blog/mcp-server-integration-guide/wide.png,accepted-2026-06-premium-batch; deterministic social PNG generated,deterministic-png-overlay,8,premium,accepted,public/images/social/blog/mcp-server-integration-guide/wide.png,/images/social/blog/mcp-server-integration-guide/wide.png,,,developer,content/social/blog/mcp-server-integration-guide.md
mcp-server-integration-guide::social-square,/images/social/blog/mcp-server-integration-guide/square.png,yes,8,tech,mcp,social-square,Deterministic overlay social derivative for developer angle; based on accepted hero.,use for campaign distribution; upload to Google Drive social library,public/images/social/blog/mcp-server-integration-guide/square.png,accepted-2026-06-premium-batch; deterministic social PNG generated,deterministic-png-overlay,8,premium,accepted,public/images/social/blog/mcp-server-integration-guide/square.png,/images/social/blog/mcp-server-integration-guide/square.png,,,developer,content/social/blog/mcp-server-integration-guide.md
mcp-server-integration-guide::social-portrait,/images/social/blog/mcp-server-integration-guide/portrait.png,yes,8,tech,mcp,social-portrait,Deterministic overlay social derivative for developer angle; based on accepted hero.,use for campaign distribution; upload to Google Drive social library,public/images/social/blog/mcp-server-integration-guide/portrait.png,accepted-2026-06-premium-batch; deterministic social PNG generated,deterministic-png-overlay,8,premium,accepted,public/images/social/blog/mcp-server-integration-guide/portrait.png,/images/social/blog/mcp-server-integration-guide/portrait.png,,,developer,content/social/blog/mcp-server-integration-guide.md
mcp-ecosystem-2026-clawhub-smithery-guide,/images/blog/generated/mcp-ecosystem-2026-clawhub-smithery-guide-premium-hero.png,yes,9,tech,mcp,hero,Premium ecosystem observatory; no real logos or marketplace marks.,ship premium bitmap hero and deterministic social derivatives,public/images/blog/generated/mcp-ecosystem-2026-clawhub-smithery-guide-premium-hero.png,accepted-2026-06-premium-batch; wired to MDX frontmatter + manifest,built-in-image-gen,9,flagship,accepted,public/images/blog/generated/mcp-ecosystem-2026-clawhub-smithery-guide-premium-hero.png,/images/blog/generated/mcp-ecosystem-2026-clawhub-smithery-guide-premium-hero.png,images/blog/mcp-ecosystem-2026-clawhub-smithery-guide/mcp-ecosystem-2026-clawhub-smithery-guide-premium-hero.png,,founder,content/social/blog/mcp-ecosystem-2026-clawhub-smithery-guide.md
mcp-ecosystem-2026-clawhub-smithery-guide::social-wide,/images/social/blog/mcp-ecosystem-2026-clawhub-smithery-guide/wide.png,yes,9,tech,mcp,social-wide,Deterministic overlay social derivative for founder angle; based on accepted hero.,use for campaign distribution; upload to Google Drive social library,public/images/social/blog/mcp-ecosystem-2026-clawhub-smithery-guide/wide.png,accepted-2026-06-premium-batch; deterministic social PNG generated,deterministic-png-overlay,9,flagship,accepted,public/images/social/blog/mcp-ecosystem-2026-clawhub-smithery-guide/wide.png,/images/social/blog/mcp-ecosystem-2026-clawhub-smithery-guide/wide.png,,,founder,content/social/blog/mcp-ecosystem-2026-clawhub-smithery-guide.md
mcp-ecosystem-2026-clawhub-smithery-guide::social-square,/images/social/blog/mcp-ecosystem-2026-clawhub-smithery-guide/square.png,yes,9,tech,mcp,social-square,Deterministic overlay social derivative for founder angle; based on accepted hero.,use for campaign distribution; upload to Google Drive social library,public/images/social/blog/mcp-ecosystem-2026-clawhub-smithery-guide/square.png,accepted-2026-06-premium-batch; deterministic social PNG generated,deterministic-png-overlay,9,flagship,accepted,public/images/social/blog/mcp-ecosystem-2026-clawhub-smithery-guide/square.png,/images/social/blog/mcp-ecosystem-2026-clawhub-smithery-guide/square.png,,,founder,content/social/blog/mcp-ecosystem-2026-clawhub-smithery-guide.md
mcp-ecosystem-2026-clawhub-smithery-guide::social-portrait,/images/social/blog/mcp-ecosystem-2026-clawhub-smithery-guide/portrait.png,yes,9,tech,mcp,social-portrait,Deterministic overlay social derivative for founder angle; based on accepted hero.,use for campaign distribution; upload to Google Drive social library,public/images/social/blog/mcp-ecosystem-2026-clawhub-smithery-guide/portrait.png,accepted-2026-06-premium-batch; deterministic social PNG generated,deterministic-png-overlay,9,flagship,accepted,public/images/social/blog/mcp-ecosystem-2026-clawhub-smithery-guide/portrait.png,/images/social/blog/mcp-ecosystem-2026-clawhub-smithery-guide/portrait.png,,,founder,content/social/blog/mcp-ecosystem-2026-clawhub-smithery-guide.md
mcp-doctor-claude-code-server-optimization,/images/blog/generated/mcp-doctor-claude-code-server-optimization-premium-hero.png,yes,8,tech,mcp,hero,Diagnostic optimization bay; visually distinct from the architecture pieces.,ship premium bitmap hero and deterministic social derivatives,public/images/blog/generated/mcp-doctor-claude-code-server-optimization-premium-hero.png,accepted-2026-06-premium-batch; wired to MDX frontmatter + manifest,built-in-image-gen,9,flagship,accepted,public/images/blog/generated/mcp-doctor-claude-code-server-optimization-premium-hero.png,/images/blog/generated/mcp-doctor-claude-code-server-optimization-premium-hero.png,images/blog/mcp-doctor-claude-code-server-optimization/mcp-doctor-claude-code-server-optimization-premium-hero.png,,developer,content/social/blog/mcp-doctor-claude-code-server-optimization.md
mcp-doctor-claude-code-server-optimization::social-wide,/images/social/blog/mcp-doctor-claude-code-server-optimization/wide.png,yes,8,tech,mcp,social-wide,Deterministic overlay social derivative for developer angle; based on accepted hero.,use for campaign distribution; upload to Google Drive social library,public/images/social/blog/mcp-doctor-claude-code-server-optimization/wide.png,accepted-2026-06-premium-batch; deterministic social PNG generated,deterministic-png-overlay,9,flagship,accepted,public/images/social/blog/mcp-doctor-claude-code-server-optimization/wide.png,/images/social/blog/mcp-doctor-claude-code-server-optimization/wide.png,,,developer,content/social/blog/mcp-doctor-claude-code-server-optimization.md
mcp-doctor-claude-code-server-optimization::social-square,/images/social/blog/mcp-doctor-claude-code-server-optimization/square.png,yes,8,tech,mcp,social-square,Deterministic overlay social derivative for developer angle; based on accepted hero.,use for campaign distribution; upload to Google Drive social library,public/images/social/blog/mcp-doctor-claude-code-server-optimization/square.png,accepted-2026-06-premium-batch; deterministic social PNG generated,deterministic-png-overlay,9,flagship,accepted,public/images/social/blog/mcp-doctor-claude-code-server-optimization/square.png,/images/social/blog/mcp-doctor-claude-code-server-optimization/square.png,,,developer,content/social/blog/mcp-doctor-claude-code-server-optimization.md
mcp-doctor-claude-code-server-optimization::social-portrait,/images/social/blog/mcp-doctor-claude-code-server-optimization/portrait.png,yes,8,tech,mcp,social-portrait,Deterministic overlay social derivative for developer angle; based on accepted hero.,use for campaign distribution; upload to Google Drive social library,public/images/social/blog/mcp-doctor-claude-code-server-optimization/portrait.png,accepted-2026-06-premium-batch; deterministic social PNG generated,deterministic-png-overlay,9,flagship,accepted,public/images/social/blog/mcp-doctor-claude-code-server-optimization/portrait.png,/images/social/blog/mcp-doctor-claude-code-server-optimization/portrait.png,,,developer,content/social/blog/mcp-doctor-claude-code-server-optimization.md
build-your-own-jarvis-claude-code,/images/blog/generated/build-your-own-jarvis-claude-code-premium-hero.png,yes,9,bridge,personal-agent,hero,Strong personal operations system without robot assistant clichés.,ship premium bitmap hero and deterministic social derivatives,public/images/blog/generated/build-your-own-jarvis-claude-code-premium-hero.png,accepted-2026-06-premium-batch; wired to MDX frontmatter + manifest,built-in-image-gen,9,flagship,accepted,public/images/blog/generated/build-your-own-jarvis-claude-code-premium-hero.png,/images/blog/generated/build-your-own-jarvis-claude-code-premium-hero.png,images/blog/build-your-own-jarvis-claude-code/build-your-own-jarvis-claude-code-premium-hero.png,,builder,content/social/blog/build-your-own-jarvis-claude-code.md
build-your-own-jarvis-claude-code::social-wide,/images/social/blog/build-your-own-jarvis-claude-code/wide.png,yes,9,bridge,personal-agent,social-wide,Deterministic overlay social derivative for builder angle; based on accepted hero.,use for campaign distribution; upload to Google Drive social library,public/images/social/blog/build-your-own-jarvis-claude-code/wide.png,accepted-2026-06-premium-batch; deterministic social PNG generated,deterministic-png-overlay,9,flagship,accepted,public/images/social/blog/build-your-own-jarvis-claude-code/wide.png,/images/social/blog/build-your-own-jarvis-claude-code/wide.png,,,builder,content/social/blog/build-your-own-jarvis-claude-code.md
build-your-own-jarvis-claude-code::social-square,/images/social/blog/build-your-own-jarvis-claude-code/square.png,yes,9,bridge,personal-agent,social-square,Deterministic overlay social derivative for builder angle; based on accepted hero.,use for campaign distribution; upload to Google Drive social library,public/images/social/blog/build-your-own-jarvis-claude-code/square.png,accepted-2026-06-premium-batch; deterministic social PNG generated,deterministic-png-overlay,9,flagship,accepted,public/images/social/blog/build-your-own-jarvis-claude-code/square.png,/images/social/blog/build-your-own-jarvis-claude-code/square.png,,,builder,content/social/blog/build-your-own-jarvis-claude-code.md
build-your-own-jarvis-claude-code::social-portrait,/images/social/blog/build-your-own-jarvis-claude-code/portrait.png,yes,9,bridge,personal-agent,social-portrait,Deterministic overlay social derivative for builder angle; based on accepted hero.,use for campaign distribution; upload to Google Drive social library,public/images/social/blog/build-your-own-jarvis-claude-code/portrait.png,accepted-2026-06-premium-batch; deterministic social PNG generated,deterministic-png-overlay,9,flagship,accepted,public/images/social/blog/build-your-own-jarvis-claude-code/portrait.png,/images/social/blog/build-your-own-jarvis-claude-code/portrait.png,,,builder,content/social/blog/build-your-own-jarvis-claude-code.md
terminal-first-ai-workflow-claude-code,/images/blog/generated/terminal-first-ai-workflow-claude-code-premium-hero.png,yes,8,tech,developer-workflow,hero,Regenerated version selected to avoid code-text artifacts.,ship premium bitmap hero and deterministic social derivatives,public/images/blog/generated/terminal-first-ai-workflow-claude-code-premium-hero.png,accepted-2026-06-premium-batch; wired to MDX frontmatter + manifest,built-in-image-gen,9,flagship,accepted,public/images/blog/generated/terminal-first-ai-workflow-claude-code-premium-hero.png,/images/blog/generated/terminal-first-ai-workflow-claude-code-premium-hero.png,images/blog/terminal-first-ai-workflow-claude-code/terminal-first-ai-workflow-claude-code-premium-hero.png,,developer,content/social/blog/terminal-first-ai-workflow-claude-code.md
terminal-first-ai-workflow-claude-code::social-wide,/images/social/blog/terminal-first-ai-workflow-claude-code/wide.png,yes,8,tech,developer-workflow,social-wide,Deterministic overlay social derivative for developer angle; based on accepted hero.,use for campaign distribution; upload to Google Drive social library,public/images/social/blog/terminal-first-ai-workflow-claude-code/wide.png,accepted-2026-06-premium-batch; deterministic social PNG generated,deterministic-png-overlay,9,flagship,accepted,public/images/social/blog/terminal-first-ai-workflow-claude-code/wide.png,/images/social/blog/terminal-first-ai-workflow-claude-code/wide.png,,,developer,content/social/blog/terminal-first-ai-workflow-claude-code.md
terminal-first-ai-workflow-claude-code::social-square,/images/social/blog/terminal-first-ai-workflow-claude-code/square.png,yes,8,tech,developer-workflow,social-square,Deterministic overlay social derivative for developer angle; based on accepted hero.,use for campaign distribution; upload to Google Drive social library,public/images/social/blog/terminal-first-ai-workflow-claude-code/square.png,accepted-2026-06-premium-batch; deterministic social PNG generated,deterministic-png-overlay,9,flagship,accepted,public/images/social/blog/terminal-first-ai-workflow-claude-code/square.png,/images/social/blog/terminal-first-ai-workflow-claude-code/square.png,,,developer,content/social/blog/terminal-first-ai-workflow-claude-code.md
terminal-first-ai-workflow-claude-code::social-portrait,/images/social/blog/terminal-first-ai-workflow-claude-code/portrait.png,yes,8,tech,developer-workflow,social-portrait,Deterministic overlay social derivative for developer angle; based on accepted hero.,use for campaign distribution; upload to Google Drive social library,public/images/social/blog/terminal-first-ai-workflow-claude-code/portrait.png,accepted-2026-06-premium-batch; deterministic social PNG generated,deterministic-png-overlay,9,flagship,accepted,public/images/social/blog/terminal-first-ai-workflow-claude-code/portrait.png,/images/social/blog/terminal-first-ai-workflow-claude-code/portrait.png,,,developer,content/social/blog/terminal-first-ai-workflow-claude-code.md
how-to-write-claude-md-that-works,/images/blog/generated/how-to-write-claude-md-that-works-premium-hero.png,yes,8,tech,developer-workflow,hero,Blank instruction blueprint keeps document concept without fake text.,ship premium bitmap hero and deterministic social derivatives,public/images/blog/generated/how-to-write-claude-md-that-works-premium-hero.png,accepted-2026-06-premium-batch; wired to MDX frontmatter + manifest,built-in-image-gen,9,flagship,accepted,public/images/blog/generated/how-to-write-claude-md-that-works-premium-hero.png,/images/blog/generated/how-to-write-claude-md-that-works-premium-hero.png,images/blog/how-to-write-claude-md-that-works/how-to-write-claude-md-that-works-premium-hero.png,,builder,content/social/blog/how-to-write-claude-md-that-works.md
how-to-write-claude-md-that-works::social-wide,/images/social/blog/how-to-write-claude-md-that-works/wide.png,yes,8,tech,developer-workflow,social-wide,Deterministic overlay social derivative for builder angle; based on accepted hero.,use for campaign distribution; upload to Google Drive social library,public/images/social/blog/how-to-write-claude-md-that-works/wide.png,accepted-2026-06-premium-batch; deterministic social PNG generated,deterministic-png-overlay,9,flagship,accepted,public/images/social/blog/how-to-write-claude-md-that-works/wide.png,/images/social/blog/how-to-write-claude-md-that-works/wide.png,,,builder,content/social/blog/how-to-write-claude-md-that-works.md
how-to-write-claude-md-that-works::social-square,/images/social/blog/how-to-write-claude-md-that-works/square.png,yes,8,tech,developer-workflow,social-square,Deterministic overlay social derivative for builder angle; based on accepted hero.,use for campaign distribution; upload to Google Drive social library,public/images/social/blog/how-to-write-claude-md-that-works/square.png,accepted-2026-06-premium-batch; deterministic social PNG generated,deterministic-png-overlay,9,flagship,accepted,public/images/social/blog/how-to-write-claude-md-that-works/square.png,/images/social/blog/how-to-write-claude-md-that-works/square.png,,,builder,content/social/blog/how-to-write-claude-md-that-works.md
how-to-write-claude-md-that-works::social-portrait,/images/social/blog/how-to-write-claude-md-that-works/portrait.png,yes,8,tech,developer-workflow,social-portrait,Deterministic overlay social derivative for builder angle; based on accepted hero.,use for campaign distribution; upload to Google Drive social library,public/images/social/blog/how-to-write-claude-md-that-works/portrait.png,accepted-2026-06-premium-batch; deterministic social PNG generated,deterministic-png-overlay,9,flagship,accepted,public/images/social/blog/how-to-write-claude-md-that-works/portrait.png,/images/social/blog/how-to-write-claude-md-that-works/portrait.png,,,builder,content/social/blog/how-to-write-claude-md-that-works.md
ultimate-ai-coding-agent-setup-acos-claude-code-mcp,/images/blog/generated/ultimate-ai-coding-agent-setup-acos-claude-code-mcp-premium-hero.png,yes,9,tech,agent-stack,hero,Regenerated version selected to remove brain-like motif; flagship stack guide.,ship premium bitmap hero and deterministic social derivatives,public/images/blog/generated/ultimate-ai-coding-agent-setup-acos-claude-code-mcp-premium-hero.png,accepted-2026-06-premium-batch; wired to MDX frontmatter + manifest,built-in-image-gen,9,flagship,accepted,public/images/blog/generated/ultimate-ai-coding-agent-setup-acos-claude-code-mcp-premium-hero.png,/images/blog/generated/ultimate-ai-coding-agent-setup-acos-claude-code-mcp-premium-hero.png,images/blog/ultimate-ai-coding-agent-setup-acos-claude-code-mcp/ultimate-ai-coding-agent-setup-acos-claude-code-mcp-premium-hero.png,,developer,content/social/blog/ultimate-ai-coding-agent-setup-acos-claude-code-mcp.md
ultimate-ai-coding-agent-setup-acos-claude-code-mcp::social-wide,/images/social/blog/ultimate-ai-coding-agent-setup-acos-claude-code-mcp/wide.png,yes,9,tech,agent-stack,social-wide,Deterministic overlay social derivative for developer angle; based on accepted hero.,use for campaign distribution; upload to Google Drive social library,public/images/social/blog/ultimate-ai-coding-agent-setup-acos-claude-code-mcp/wide.png,accepted-2026-06-premium-batch; deterministic social PNG generated,deterministic-png-overlay,9,flagship,accepted,public/images/social/blog/ultimate-ai-coding-agent-setup-acos-claude-code-mcp/wide.png,/images/social/blog/ultimate-ai-coding-agent-setup-acos-claude-code-mcp/wide.png,,,developer,content/social/blog/ultimate-ai-coding-agent-setup-acos-claude-code-mcp.md
ultimate-ai-coding-agent-setup-acos-claude-code-mcp::social-square,/images/social/blog/ultimate-ai-coding-agent-setup-acos-claude-code-mcp/square.png,yes,9,tech,agent-stack,social-square,Deterministic overlay social derivative for developer angle; based on accepted hero.,use for campaign distribution; upload to Google Drive social library,public/images/social/blog/ultimate-ai-coding-agent-setup-acos-claude-code-mcp/square.png,accepted-2026-06-premium-batch; deterministic social PNG generated,deterministic-png-overlay,9,flagship,accepted,public/images/social/blog/ultimate-ai-coding-agent-setup-acos-claude-code-mcp/square.png,/images/social/blog/ultimate-ai-coding-agent-setup-acos-claude-code-mcp/square.png,,,developer,content/social/blog/ultimate-ai-coding-agent-setup-acos-claude-code-mcp.md
ultimate-ai-coding-agent-setup-acos-claude-code-mcp::social-portrait,/images/social/blog/ultimate-ai-coding-agent-setup-acos-claude-code-mcp/portrait.png,yes,9,tech,agent-stack,social-portrait,Deterministic overlay social derivative for developer angle; based on accepted hero.,use for campaign distribution; upload to Google Drive social library,public/images/social/blog/ultimate-ai-coding-agent-setup-acos-claude-code-mcp/portrait.png,accepted-2026-06-premium-batch; deterministic social PNG generated,deterministic-png-overlay,9,flagship,accepted,public/images/social/blog/ultimate-ai-coding-agent-setup-acos-claude-code-mcp/portrait.png,/images/social/blog/ultimate-ai-coding-agent-setup-acos-claude-code-mcp/portrait.png,,,developer,content/social/blog/ultimate-ai-coding-agent-setup-acos-claude-code-mcp.md
claude-code-skills-2026-the-10-you-need,/images/blog/generated/claude-code-skills-2026-the-10-you-need-premium-hero.png,yes,8,tech,skills,hero,Skill-library capsules are clear and reusable for campaign assets.,ship premium bitmap hero and deterministic social derivatives,public/images/blog/generated/claude-code-skills-2026-the-10-you-need-premium-hero.png,accepted-2026-06-premium-batch; wired to MDX frontmatter + manifest,built-in-image-gen,9,flagship,accepted,public/images/blog/generated/claude-code-skills-2026-the-10-you-need-premium-hero.png,/images/blog/generated/claude-code-skills-2026-the-10-you-need-premium-hero.png,images/blog/claude-code-skills-2026-the-10-you-need/claude-code-skills-2026-the-10-you-need-premium-hero.png,,developer,content/social/blog/claude-code-skills-2026-the-10-you-need.md
claude-code-skills-2026-the-10-you-need::social-wide,/images/social/blog/claude-code-skills-2026-the-10-you-need/wide.png,yes,8,tech,skills,social-wide,Deterministic overlay social derivative for developer angle; based on accepted hero.,use for campaign distribution; upload to Google Drive social library,public/images/social/blog/claude-code-skills-2026-the-10-you-need/wide.png,accepted-2026-06-premium-batch; deterministic social PNG generated,deterministic-png-overlay,9,flagship,accepted,public/images/social/blog/claude-code-skills-2026-the-10-you-need/wide.png,/images/social/blog/claude-code-skills-2026-the-10-you-need/wide.png,,,developer,content/social/blog/claude-code-skills-2026-the-10-you-need.md
claude-code-skills-2026-the-10-you-need::social-square,/images/social/blog/claude-code-skills-2026-the-10-you-need/square.png,yes,8,tech,skills,social-square,Deterministic overlay social derivative for developer angle; based on accepted hero.,use for campaign distribution; upload to Google Drive social library,public/images/social/blog/claude-code-skills-2026-the-10-you-need/square.png,accepted-2026-06-premium-batch; deterministic social PNG generated,deterministic-png-overlay,9,flagship,accepted,public/images/social/blog/claude-code-skills-2026-the-10-you-need/square.png,/images/social/blog/claude-code-skills-2026-the-10-you-need/square.png,,,developer,content/social/blog/claude-code-skills-2026-the-10-you-need.md
claude-code-skills-2026-the-10-you-need::social-portrait,/images/social/blog/claude-code-skills-2026-the-10-you-need/portrait.png,yes,8,tech,skills,social-portrait,Deterministic overlay social derivative for developer angle; based on accepted hero.,use for campaign distribution; upload to Google Drive social library,public/images/social/blog/claude-code-skills-2026-the-10-you-need/portrait.png,accepted-2026-06-premium-batch; deterministic social PNG generated,deterministic-png-overlay,9,flagship,accepted,public/images/social/blog/claude-code-skills-2026-the-10-you-need/portrait.png,/images/social/blog/claude-code-skills-2026-the-10-you-need/portrait.png,,,developer,content/social/blog/claude-code-skills-2026-the-10-you-need.md
claude-code-mastery-top-resources,/images/blog/generated/claude-code-mastery-top-resources-premium-hero.png,yes,8,tech,resources,hero,"Curated resource observatory, quieter and more editorial.",ship premium bitmap hero and deterministic social derivatives,public/images/blog/generated/claude-code-mastery-top-resources-premium-hero.png,accepted-2026-06-premium-batch; wired to MDX frontmatter + manifest,built-in-image-gen,8,premium,accepted,public/images/blog/generated/claude-code-mastery-top-resources-premium-hero.png,/images/blog/generated/claude-code-mastery-top-resources-premium-hero.png,images/blog/claude-code-mastery-top-resources/claude-code-mastery-top-resources-premium-hero.png,,builder,content/social/blog/claude-code-mastery-top-resources.md
claude-code-mastery-top-resources::social-wide,/images/social/blog/claude-code-mastery-top-resources/wide.png,yes,8,tech,resources,social-wide,Deterministic overlay social derivative for builder angle; based on accepted hero.,use for campaign distribution; upload to Google Drive social library,public/images/social/blog/claude-code-mastery-top-resources/wide.png,accepted-2026-06-premium-batch; deterministic social PNG generated,deterministic-png-overlay,8,premium,accepted,public/images/social/blog/claude-code-mastery-top-resources/wide.png,/images/social/blog/claude-code-mastery-top-resources/wide.png,,,builder,content/social/blog/claude-code-mastery-top-resources.md
claude-code-mastery-top-resources::social-square,/images/social/blog/claude-code-mastery-top-resources/square.png,yes,8,tech,resources,social-square,Deterministic overlay social derivative for builder angle; based on accepted hero.,use for campaign distribution; upload to Google Drive social library,public/images/social/blog/claude-code-mastery-top-resources/square.png,accepted-2026-06-premium-batch; deterministic social PNG generated,deterministic-png-overlay,8,premium,accepted,public/images/social/blog/claude-code-mastery-top-resources/square.png,/images/social/blog/claude-code-mastery-top-resources/square.png,,,builder,content/social/blog/claude-code-mastery-top-resources.md
claude-code-mastery-top-resources::social-portrait,/images/social/blog/claude-code-mastery-top-resources/portrait.png,yes,8,tech,resources,social-portrait,Deterministic overlay social derivative for builder angle; based on accepted hero.,use for campaign distribution; upload to Google Drive social library,public/images/social/blog/claude-code-mastery-top-resources/portrait.png,accepted-2026-06-premium-batch; deterministic social PNG generated,deterministic-png-overlay,8,premium,accepted,public/images/social/blog/claude-code-mastery-top-resources/portrait.png,/images/social/blog/claude-code-mastery-top-resources/portrait.png,,,builder,content/social/blog/claude-code-mastery-top-resources.md
agent-feed-privacy-first-ai-transparency,/images/blog/generated/agent-feed-privacy-first-ai-transparency-premium-hero.png,yes,9,tech,privacy-transparency,hero,Flagship privacy/transparency ledger with clear trust architecture.,ship premium bitmap hero and deterministic social derivatives,public/images/blog/generated/agent-feed-privacy-first-ai-transparency-premium-hero.png,accepted-2026-06-premium-batch; wired to MDX frontmatter + manifest,built-in-image-gen,9,flagship,accepted,public/images/blog/generated/agent-feed-privacy-first-ai-transparency-premium-hero.png,/images/blog/generated/agent-feed-privacy-first-ai-transparency-premium-hero.png,images/blog/agent-feed-privacy-first-ai-transparency/agent-feed-privacy-first-ai-transparency-premium-hero.png,,founder,content/social/blog/agent-feed-privacy-first-ai-transparency.md
agent-feed-privacy-first-ai-transparency::social-wide,/images/social/blog/agent-feed-privacy-first-ai-transparency/wide.png,yes,9,tech,privacy-transparency,social-wide,Deterministic overlay social derivative for founder angle; based on accepted hero.,use for campaign distribution; upload to Google Drive social library,public/images/social/blog/agent-feed-privacy-first-ai-transparency/wide.png,accepted-2026-06-premium-batch; deterministic social PNG generated,deterministic-png-overlay,9,flagship,accepted,public/images/social/blog/agent-feed-privacy-first-ai-transparency/wide.png,/images/social/blog/agent-feed-privacy-first-ai-transparency/wide.png,,,founder,content/social/blog/agent-feed-privacy-first-ai-transparency.md
agent-feed-privacy-first-ai-transparency::social-square,/images/social/blog/agent-feed-privacy-first-ai-transparency/square.png,yes,9,tech,privacy-transparency,social-square,Deterministic overlay social derivative for founder angle; based on accepted hero.,use for campaign distribution; upload to Google Drive social library,public/images/social/blog/agent-feed-privacy-first-ai-transparency/square.png,accepted-2026-06-premium-batch; deterministic social PNG generated,deterministic-png-overlay,9,flagship,accepted,public/images/social/blog/agent-feed-privacy-first-ai-transparency/square.png,/images/social/blog/agent-feed-privacy-first-ai-transparency/square.png,,,founder,content/social/blog/agent-feed-privacy-first-ai-transparency.md
agent-feed-privacy-first-ai-transparency::social-portrait,/images/social/blog/agent-feed-privacy-first-ai-transparency/portrait.png,yes,9,tech,privacy-transparency,social-portrait,Deterministic overlay social derivative for founder angle; based on accepted hero.,use for campaign distribution; upload to Google Drive social library,public/images/social/blog/agent-feed-privacy-first-ai-transparency/portrait.png,accepted-2026-06-premium-batch; deterministic social PNG generated,deterministic-png-overlay,9,flagship,accepted,public/images/social/blog/agent-feed-privacy-first-ai-transparency/portrait.png,/images/social/blog/agent-feed-privacy-first-ai-transparency/portrait.png,,,founder,content/social/blog/agent-feed-privacy-first-ai-transparency.md
